Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
84,Plasticbox,3024,4032,35.1609274,129.1405595,0,1,0,0,0
85,Styrofoam1,3024,4032,35.1609274,129.1405595,0,1,0,0,0
86,Styrofoam2,3024,4032,35.1609274,129.1405595,0,1,0,0,0
87,Log,3024,4032,35.1609274,129.1405595,1,0,0,0,0
88,Rope,3024,4032,35.1609274,129.1405595,1,0,0,0,0
89,PlasticBag,3024,4032,35.1609274,129.1405595,1,0,0,0,0
90,Shampoobottle,3024,4032,35.1609274,129.1405595,1,0,0,0,0
91,CrackerWrapper,3024,4032,35.1609274,129.1405595,1,0,0,0,0
92,RubberCover,3024,4032,37.4976537,127.0467951,1,0,0,0,0
93,ClothesRack,3024,4032,37.4976537,127.0467951,1,0,0,0,0
94,BottleCap,3024,4032,37.4976537,127.0467951,0,1,0,0,0
95,GlassBottle,3024,4032,37.4976537,127.0467951,0,0,0,1,0
96,PlasticDoorknob,3024,4032,37.4976537,127.0467951,0,1,0,0,0
97,YogurtContainer,3024,4032,37.4976537,127.0467951,0,1,0,0,0
98,PlasticCover,3024,4032,37.4976537,127.0467951,0,1,0,0,0
99,WaterBottle,3024,4032,37.4976537,127.0467951,0,1,0,0,0
100,CookieBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
101,String,3024,4032,37.4976537,127.0467951,1,0,0,0,0
102,BeverageContainer,3024,4032,37.4976537,127.0467951,0,1,0,0,0
103,PlasticContainer,3024,4032,37.4976537,127.0467951,0,1,0,0,0
104,AluminumCover,3024,4032,37.4976537,127.0467951,0,0,1,0,0
